AD	Demographics	Address	2.8.1	Y	Y	
CD	Specialty/Chapter Specific : Waveform	Channel definition	2.8.2	Y	Y	For waveform data only, see Chapter 7, Section 7.15.3.
CE	Code Values	Coded element	2.8.3	Y	Y	
CF	Code Values	Coded element with formatted values	2.8.4	Y	Y	
CK	Code Values	Composite ID with check digit	2.8.5	Y	Y	
CM	Generic	Composit	2.8.6	C		No new CM`s are allowed after HL7 Version 2.2. Hence there are no new CM`s in 2.
CN	Code Values	Composite ID number and name	2.8.7	Y	Y	
CNE	Code Values	Coded with no exceptions	2.8.8	Y	Y	
CP	Specialty/Chapter Specific : Price Data	Composite price	2.8.9	Y	Y	In Version 2.3, replaces the MO data type.
CQ	Numerical	Composite quantity with units	2.8.10	Y	Y	
CWE	Code Values	Coded with exceptions	2.8.11	Y	Y	
CX	Code Values	Extended composite ID with check digit	2.8.12	Y	Y	
DLN	Master file	Driver`s license number	2.8.13	Y	Y	
DR	Time Series:	Date/time range	2.8.14	Y	Y	Scheduling Chapter Only:
DT	Date/Time	Date	2.8.15	N	N	YYYY[MM[DD]]
ED	Specialty/Chapter Specific : Waveform	Encapsulated data	2.8.16	Y	Y	Supports ASCII MIME-encoding of binary data.
EI	Identifier	Entity identifier	2.8.17	Y	Y	
FC	Specialty/Chapter Specific : Patient Administration /Financial Information	Financial class	2.8.18	Y	Y	
FT	Alphanumeric	Formatted text	2.8.19	N	N	
HD	Identifier	Hierarchic designator	2.8.20	Y	Y	
ID	Identifier	Coded values for HL7 tables	2.8.21	N	N	
IS	Identifier	Coded value for user-defined tables	2.8.22	N	N	
JCC	Master Files	Job code/class	2.8.23	Y	Y	
MA	Specialty/Chapter Specific : Waveform	Multiplexed array	2.8.24	Y	Y	For waveform data only, see Chapter 7, Section 7.15.2.
MO	Numerical	Money	2.8.25	Y	Y	
NA	Specialty/Chapter Specific : Waveform	Numeric array	2.8.26	Y	Y	For waveform data only, see Chapter 7, Section 7.15.1.
NM	Numerical	Numeric	2.8.27	N	N	
PL	Identifier	Person location	2.8.28	Y	Y	
PN	Demographics	Person name	2.8.29	Y	Y	
PPN	Medical Records/Information Management	Performing person time stamp	2.8.29	Y	Y	
PT	Identifier	Processing type	2.8.31	Y	Y	
QIP	Extended Queries	Query input parameter list	2.8.32	Y	Y	
QSC	Extended Queries	Query selection criteria	2.8.33	Y	Y	
RCD	Extended Queries	Row column definition	2.8.34	Y	Y	
RI	Time Series:	Repeat interval	2.8.35	Y	Y	Scheduling Chapter Only:
RP	Identifier	Reference pointer	2.8.36	Y	Y	
SAD	Demographics	Street Address		Y		
