ERR	1	0	-1	80	00024	ZC03	R	Y	0				Error Code and Location	User Define : composit	
ERR	1	1	-1	0		ST			0					String	segment ID
ERR	1	2	-1	0		NM			0					Numeric	sequence
ERR	1	3	-1	0		NM			0					Numeric	field position
ERR	1	4	0	0		ZCE1			0					Coded values for HL7 tables	code identifying error
ERR	1	4	1	0		ID			0	0357				Coded values for HL7 tables	identifier
ERR	1	4	2	0		ST			0					String	text
ERR	1	4	3	0		ST			0					String	name of coding system
ERR	1	4	4	0		ID			0	0357				Coded values for HL7 tables	alternate identifier
ERR	1	4	5	0		ST			0					String	alternate text
ERR	1	4	6	0		ST			0					String	name of alternate coding system
